05:04:58 [ultranest] [DEBUG] ReactiveNestedSampler: dims=12+0, resume=False, log_dir=/home/ubuntu/docs_runs/ultranest_20260811/un_lcdm_ev_prod, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
05:05:48 [ultranest] [INFO] Sampling 400 live points from prior ...
05:07:56 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
05:07:56 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
05:07:56 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
06:56:10 [ultranest] [DEBUG] iteration=303, ncalls=15280, regioncalls=0, ndraw=40, logz=-9539.58, remainder_fraction=100.0000%, Lmin=-9511.82, Lmax=-1648.99
06:56:54 [ultranest] [DEBUG] iteration=306, ncalls=15376, regioncalls=0, ndraw=40, logz=-9457.70, remainder_fraction=100.0000%, Lmin=-9445.68, Lmax=-1648.99
06:58:09 [ultranest] [DEBUG] iteration=308, ncalls=15568, regioncalls=0, ndraw=40, logz=-9446.69, remainder_fraction=100.0000%, Lmin=-9425.52, Lmax=-1648.99
06:59:36 [ultranest] [DEBUG] iteration=309, ncalls=15760, regioncalls=0, ndraw=40, logz=-9432.29, remainder_fraction=100.0000%, Lmin=-9402.83, Lmax=-1648.99
07:00:34 [ultranest] [DEBUG] iteration=310, ncalls=15856, regioncalls=0, ndraw=40, logz=-9409.59, remainder_fraction=100.0000%, Lmin=-9399.19, Lmax=-1648.99
07:01:25 [ultranest] [DEBUG] iteration=312, ncalls=15952, regioncalls=0, ndraw=40, logz=-9246.60, remainder_fraction=100.0000%, Lmin=-9212.51, Lmax=-1648.99
07:01:56 [ultranest] [DEBUG] iteration=315, ncalls=16048, regioncalls=0, ndraw=40, logz=-9168.80, remainder_fraction=100.0000%, Lmin=-9153.27, Lmax=-1648.99
07:03:16 [ultranest] [DEBUG] iteration=317, ncalls=16240, regioncalls=0, ndraw=40, logz=-9133.40, remainder_fraction=100.0000%, Lmin=-9121.43, Lmax=-1648.99
07:03:54 [ultranest] [DEBUG] iteration=319, ncalls=16336, regioncalls=0, ndraw=40, logz=-9109.64, remainder_fraction=100.0000%, Lmin=-9085.33, Lmax=-1648.99
07:04:29 [ultranest] [DEBUG] iteration=320, ncalls=16432, regioncalls=0, ndraw=40, logz=-9092.12, remainder_fraction=100.0000%, Lmin=-9048.43, Lmax=-1648.99
