16:55:11 [ultranest] [DEBUG] ReactiveNestedSampler: dims=12+0, resume=False, log_dir=/home/ubuntu/docs_runs/ultranest_noh0_20260813/un_lcdm_noh0_ev_prod, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:55:56 [ultranest] [INFO] Sampling 400 live points from prior ...
16:57:59 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
16:57:59 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:57:59 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
18:22:43 [ultranest] [DEBUG] iteration=224, ncalls=13744, regioncalls=0, ndraw=40, logz=-12942.27, remainder_fraction=100.0000%, Lmin=-12828.69, Lmax=-1854.80
18:23:22 [ultranest] [DEBUG] iteration=226, ncalls=13840, regioncalls=0, ndraw=40, logz=-12795.78, remainder_fraction=100.0000%, Lmin=-12747.45, Lmax=-1854.80
18:23:50 [ultranest] [DEBUG] iteration=228, ncalls=13936, regioncalls=0, ndraw=40, logz=-12715.19, remainder_fraction=100.0000%, Lmin=-12697.51, Lmax=-1854.80
18:24:26 [ultranest] [DEBUG] iteration=232, ncalls=14032, regioncalls=0, ndraw=40, logz=-12611.59, remainder_fraction=100.0000%, Lmin=-12586.40, Lmax=-1854.80
18:25:00 [ultranest] [DEBUG] iteration=233, ncalls=14128, regioncalls=0, ndraw=40, logz=-12592.98, remainder_fraction=100.0000%, Lmin=-12571.19, Lmax=-1854.80
18:25:37 [ultranest] [DEBUG] iteration=236, ncalls=14224, regioncalls=0, ndraw=40, logz=-12517.03, remainder_fraction=100.0000%, Lmin=-12477.40, Lmax=-1854.80
18:26:14 [ultranest] [DEBUG] iteration=237, ncalls=14320, regioncalls=0, ndraw=40, logz=-12483.98, remainder_fraction=100.0000%, Lmin=-12441.82, Lmax=-1854.80
18:26:14 [ultranest] [DEBUG] iteration=240, ncalls=14320, regioncalls=0, ndraw=40, logz=-12347.73, remainder_fraction=100.0000%, Lmin=-12337.47, Lmax=-1854.80
18:26:59 [ultranest] [DEBUG] iteration=241, ncalls=14416, regioncalls=0, ndraw=40, logz=-12344.04, remainder_fraction=100.0000%, Lmin=-12295.08, Lmax=-1854.80
18:27:31 [ultranest] [DEBUG] iteration=244, ncalls=14512, regioncalls=0, ndraw=40, logz=-12270.12, remainder_fraction=100.0000%, Lmin=-12249.01, Lmax=-1854.80
18:28:05 [ultranest] [DEBUG] iteration=246, ncalls=14608, regioncalls=0, ndraw=40, logz=-12195.59, remainder_fraction=100.0000%, Lmin=-12188.53, Lmax=-1854.80
18:28:41 [ultranest] [DEBUG] iteration=251, ncalls=14704, regioncalls=0, ndraw=40, logz=-12076.99, remainder_fraction=100.0000%, Lmin=-12046.44, Lmax=-1854.80
18:29:16 [ultranest] [DEBUG] iteration=256, ncalls=14800, regioncalls=0, ndraw=40, logz=-11792.43, remainder_fraction=100.0000%, Lmin=-11778.80, Lmax=-1854.80
